model,truemex,truegenome,total,trueprop,simprop,,,,,,,
1,0.02,0.18,0.2,0.1,0.327,,,,,,,
2,0.05,0.15,0.2,0.25,0.372,,,,,,,
3,0.1,0.1,0.2,0.5,0.474,,,,,,,
4,0.15,0.05,0.2,0.75,0.642,,,,,,,
5,0.05,0.45,0.5,0.1,0.229,,,,,,,
6,0.125,0.375,0.5,0.25,0.300,,,,,,,
7,0.25,0.25,0.5,0.5,0.450,,,,,,,
8,0.375,0.125,0.5,0.75,0.696,,,,,,,
9,0.08,0.72,0.8,0.1,0.180,,,,,,,
10,0.2,0.6,0.8,0.25,0.291,,,,,,,
11,0.4,0.4,0.8,0.5,0.514,,,,,,,
12,0.6,0.2,0.8,0.75,0.818,,,,,,,
1,0.02,0.18,0.2,0.1,0.955,,,,,,,
2,0.05,0.15,0.2,0.25,0.960,,,,,,,
3,0.1,0.1,0.2,0.5,0.990,,,,,,,
4,0.15,0.05,0.2,0.75,0.894,,,,,,,
5,0.05,0.45,0.5,0.1,0.552,,,,,,,
6,0.125,0.375,0.5,0.25,0.703,,,,,,,
7,0.25,0.25,0.5,0.5,0.856,,,,,,,
8,0.375,0.125,0.5,0.75,0.938,,,,,,,
9,0.08,0.72,0.8,0.1,0.244,,,,,,,
10,0.2,0.6,0.8,0.25,0.437,,,,,,,
11,0.4,0.4,0.8,0.5,0.687,,,,,,,
12,0.6,0.2,0.8,0.75,0.869,,,,,,,
1,0.02,0.18,0.2,0.1,0.088,,,,,,,
2,0.05,0.15,0.2,0.25,0.004,,,,,,,
3,0.1,0.1,0.2,0.5,0.999,,,,,,,
4,0.15,0.05,0.2,0.75,0.929,,,,,,,
5,0.05,0.45,0.5,0.1,0.064,,,,,,,
6,0.125,0.375,0.5,0.25,0.280,,,,,,,
7,0.25,0.25,0.5,0.5,0.609,,,,,,,
8,0.375,0.125,0.5,0.75,1.000,,,,,,,
9,0.08,0.72,0.8,0.1,0.110,,,,,,,
10,0.2,0.6,0.8,0.25,0.269,,,,,,,
11,0.4,0.4,0.8,0.5,0.519,,,,,,,
12,0.6,0.2,0.8,0.75,0.804,,,,,,,
1,0.02,0.18,0.2,0.1,0.111,,,,,,,
2,0.05,0.15,0.2,0.25,0.178,,,,,,,
3,0.1,0.1,0.2,0.5,0.321,,,,,,,
4,0.15,0.05,0.2,0.75,0.528,,,,,,,
5,0.05,0.45,0.5,0.1,0.139,,,,,,,
6,0.125,0.375,0.5,0.25,0.201,,,,,,,
7,0.25,0.25,0.5,0.5,0.347,,,,,,,
8,0.375,0.125,0.5,0.75,0.556,,,,,,,
9,0.08,0.72,0.8,0.1,0.000,,,,,,,
10,0.2,0.6,0.8,0.25,0.164,,,,,,,
11,0.4,0.4,0.8,0.5,0.327,,,,,,,
12,0.6,0.2,0.8,0.75,0.558,,,,,,,
1,0.02,0.18,0.2,0.1,0.073,,,,,,,
2,0.05,0.15,0.2,0.25,0.000,,,,,,,
3,0.1,0.1,0.2,0.5,0.311,,,,,,,
4,0.15,0.05,0.2,0.75,0.998,,,,,,,
5,0.05,0.45,0.5,0.1,0.000,,,,,,,
6,0.125,0.375,0.5,0.25,0.088,,,,,,,
7,0.25,0.25,0.5,0.5,0.520,,,,,,,
8,0.375,0.125,0.5,0.75,0.931,,,,,,,
9,0.08,0.72,0.8,0.1,0.009,,,,,,,
10,0.2,0.6,0.8,0.25,0.163,,,,,,,
11,0.4,0.4,0.8,0.5,0.506,,,,,,,
12,0.6,0.2,0.8,0.75,0.849,,,,,,,
1,0.02,0.18,0.2,0.1,0.320,,,,,,,
2,0.05,0.15,0.2,0.25,0.388,,,,,,,
3,0.1,0.1,0.2,0.5,0.510,,,,,,,
4,0.15,0.05,0.2,0.75,0.631,,,,,,,
5,0.05,0.45,0.5,0.1,0.234,,,,,,,
6,0.125,0.375,0.5,0.25,0.368,,,,,,,
7,0.25,0.25,0.5,0.5,0.562,,,,,,,
8,0.375,0.125,0.5,0.75,0.725,,,,,,,
9,0.08,0.72,0.8,0.1,0.156,,,,,,,
10,0.2,0.6,0.8,0.25,0.328,,,,,,,
11,0.4,0.4,0.8,0.5,0.563,,,,,,,
12,0.6,0.2,0.8,0.75,0.765,,,,,,,
1,0.02,0.18,0.2,0.1,0.457,,,,,,,
2,0.05,0.15,0.2,0.25,0.882,,,,,,,
3,0.1,0.1,0.2,0.5,0.997,,,,,,,
4,0.15,0.05,0.2,0.75,1.000,,,,,,,
5,0.05,0.45,0.5,0.1,0.000,,,,,,,
6,0.125,0.375,0.5,0.25,0.000,,,,,,,
7,0.25,0.25,0.5,0.5,0.467,,,,,,,
8,0.375,0.125,0.5,0.75,1.000,,,,,,,
9,0.08,0.72,0.8,0.1,0.000,,,,,,,
10,0.2,0.6,0.8,0.25,0.075,,,,,,,
11,0.4,0.4,0.8,0.5,0.545,,,,,,,
12,0.6,0.2,0.8,0.75,0.945,,,,,,,
1,0.02,0.18,0.2,0.1,0.108,,,,,,,
2,0.05,0.15,0.2,0.25,0.358,,,,,,,
3,0.1,0.1,0.2,0.5,0.689,,,,,,,
4,0.15,0.05,0.2,0.75,0.993,,,,,,,
5,0.05,0.45,0.5,0.1,0.000,,,,,,,
6,0.125,0.375,0.5,0.25,0.249,,,,,,,
7,0.25,0.25,0.5,0.5,0.545,,,,,,,
8,0.375,0.125,0.5,0.75,0.832,,,,,,,
9,0.08,0.72,0.8,0.1,0.002,,,,,,,
10,0.2,0.6,0.8,0.25,0.222,,,,,,,
11,0.4,0.4,0.8,0.5,0.497,,,,,,,
12,0.6,0.2,0.8,0.75,0.747,,,,,,,
1,0.02,0.18,0.2,0.1,0.000,,,,,,,
2,0.05,0.15,0.2,0.25,0.107,,,,,,,
3,0.1,0.1,0.2,0.5,0.359,,,,,,,
4,0.15,0.05,0.2,0.75,0.592,,,,,,,
5,0.05,0.45,0.5,0.1,0.076,,,,,,,
6,0.125,0.375,0.5,0.25,0.249,,,,,,,
7,0.25,0.25,0.5,0.5,0.487,,,,,,,
8,0.375,0.125,0.5,0.75,0.698,,,,,,,
9,0.08,0.72,0.8,0.1,0.081,,,,,,,
10,0.2,0.6,0.8,0.25,0.252,,,,,,,
11,0.4,0.4,0.8,0.5,0.507,,,,,,,
12,0.6,0.2,0.8,0.75,0.751,,,,,,,
1,0.02,0.18,0.2,0.1,0.050,,,,,,,
2,0.05,0.15,0.2,0.25,0.057,,,,,,,
3,0.1,0.1,0.2,0.5,0.047,,,,,,,
4,0.15,0.05,0.2,0.75,0.270,,,,,,,
5,0.05,0.45,0.5,0.1,0.000,,,,,,,
6,0.125,0.375,0.5,0.25,0.156,,,,,,,
7,0.25,0.25,0.5,0.5,0.461,,,,,,,
8,0.375,0.125,0.5,0.75,0.847,,,,,,,
9,0.08,0.72,0.8,0.1,0.045,,,,,,,
10,0.2,0.6,0.8,0.25,0.258,,,,,,,
11,0.4,0.4,0.8,0.5,0.533,,,,,,,
12,0.6,0.2,0.8,0.75,0.839,,,,,,,